# NativeCalendarHolidays TSV v1: YYYYMMDD<TAB>isOffDay(1/0)<TAB>name
# Only dates explicitly present in the source are marked. Missing dates are not classified.
20140405	1	清明节
20140407	1	清明节
20140501	1	劳动节
20140502	1	劳动节
20140503	1	劳动节
20140504	0	劳动节
20140602	1	端午节
20140908	1	中秋节
20140928	0	国庆节
20141001	1	国庆节
20141002	1	国庆节
20141003	1	国庆节
20141004	1	国庆节
20141005	1	国庆节
20141006	1	国庆节
20141007	1	国庆节
20141011	0	国庆节
20150101	1	元旦
20150102	1	元旦
20150103	1	元旦
20150104	0	元旦
20150215	0	春节
20150218	1	春节
20150219	1	春节
20150220	1	春节
20150221	1	春节
20150222	1	春节
20150223	1	春节
20150224	1	春节
20150228	0	春节
20150405	1	清明节
20150406	1	清明节
20150501	1	劳动节
20150620	1	端午节
20150622	1	端午节
20150903	1	抗日战争暨世界反法西斯战争胜利70周年纪念日
20150904	1	抗日战争暨世界反法西斯战争胜利70周年纪念日
20150905	1	抗日战争暨世界反法西斯战争胜利70周年纪念日
20150906	0	抗日战争暨世界反法西斯战争胜利70周年纪念日
20150927	1	中秋节
20151001	1	国庆节
20151002	1	国庆节
20151003	1	国庆节
20151004	1	国庆节
20151005	1	国庆节
20151006	1	国庆节
20151007	1	国庆节
20151010	0	国庆节
20160101	1	元旦
20160206	0	春节
20160207	1	春节
20160208	1	春节
20160209	1	春节
20160210	1	春节
20160211	1	春节
20160212	1	春节
20160213	1	春节
20160214	0	春节
20160404	1	清明节
20160501	1	劳动节
20160502	1	劳动节
20160609	1	端午节
20160610	1	端午节
20160611	1	端午节
20160612	0	端午节
20160915	1	中秋节
20160916	1	中秋节
20160917	1	中秋节
20160918	0	中秋节
20161001	1	国庆节
20161002	1	国庆节
20161003	1	国庆节
20161004	1	国庆节
20161005	1	国庆节
20161006	1	国庆节
20161007	1	国庆节
20161008	0	国庆节
20161009	0	国庆节
20170101	1	元旦
20170102	1	元旦
20170122	0	春节
20170127	1	春节
20170128	1	春节
20170129	1	春节
20170130	1	春节
20170131	1	春节
20170201	1	春节
20170202	1	春节
20170204	0	春节
20170401	0	清明节
20170402	1	清明节
20170403	1	清明节
20170404	1	清明节
20170501	1	劳动节
20170527	0	端午节
20170528	1	端午节
20170529	1	端午节
20170530	1	端午节
20170930	0	中秋节、国庆节
20171001	1	中秋节、国庆节
20171002	1	中秋节、国庆节
20171003	1	中秋节、国庆节
20171004	1	中秋节、国庆节
20171005	1	中秋节、国庆节
20171006	1	中秋节、国庆节
20171007	1	中秋节、国庆节
20171008	1	中秋节、国庆节
20180101	1	元旦
20180211	0	春节
20180215	1	春节
20180216	1	春节
20180217	1	春节
20180218	1	春节
20180219	1	春节
20180220	1	春节
20180221	1	春节
20180224	0	春节
20180405	1	清明节
20180406	1	清明节
20180407	1	清明节
20180408	0	清明节
20180428	0	劳动节
20180429	1	劳动节
20180430	1	劳动节
20180501	1	劳动节
20180618	1	端午节
20180924	1	中秋节
20180929	0	国庆节
20180930	0	国庆节
20181001	1	国庆节
20181002	1	国庆节
20181003	1	国庆节
20181004	1	国庆节
20181005	1	国庆节
20181006	1	国庆节
20181007	1	国庆节
20181229	0	元旦
20181230	1	元旦
20181231	1	元旦
20190101	1	元旦
20190202	0	春节
20190203	0	春节
20190204	1	春节
20190205	1	春节
20190206	1	春节
20190207	1	春节
20190208	1	春节
20190209	1	春节
20190210	1	春节
20190405	1	清明节
20190428	0	劳动节
20190501	1	劳动节
20190502	1	劳动节
20190503	1	劳动节
20190504	1	劳动节
20190505	0	劳动节
20190607	1	端午节
20190913	1	中秋节
20190929	0	国庆节
20191001	1	国庆节
20191002	1	国庆节
20191003	1	国庆节
20191004	1	国庆节
20191005	1	国庆节
20191006	1	国庆节
20191007	1	国庆节
20191012	0	国庆节
20200101	1	元旦
20200119	0	春节
20200124	1	春节
20200125	1	春节
20200126	1	春节
20200127	1	春节
20200128	1	春节
20200129	1	春节
20200130	1	春节
20200131	1	春节
20200201	1	春节
20200202	1	春节
20200203	0	春节
20200404	1	清明节
20200405	1	清明节
20200406	1	清明节
20200426	0	劳动节
20200501	1	劳动节
20200502	1	劳动节
20200503	1	劳动节
20200504	1	劳动节
20200505	1	劳动节
20200509	0	劳动节
20200625	1	端午节
20200626	1	端午节
20200627	1	端午节
20200628	0	端午节
